comment,director,last,movietype,orgintitle,rank,region,score,title,url,year

希望让人自由。,弗兰克·德拉邦特,,剧情 犯罪,"The,Shawshank,Redemption",1,,9.6,肖申克的救赎,https://movie.douban.com/subject/1292052/,1994

一生所爱。,刘镇伟,,喜剧 动作 爱情 奇幻 冒险,西遊記大結局之仙履奇緣,15,,9.2,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,1995

天籁一般的童声，是最接近上帝的存在。 ,克里斯托夫·巴拉蒂,,剧情 音乐,"Les,choristes",14,,9.2,放牛班的春天,https://movie.douban.com/subject/1291549/,2004

永远都不能忘记你所爱的人。,拉斯·霍尔斯道姆,,剧情,"Hachi:,A,Dog's,Tale",13,,9.2,忠犬八公的故事,https://movie.douban.com/subject/3011091/,2009

英俊版憨豆，高情商版谢耳朵。,拉吉库马尔·希拉尼,,剧情 喜剧 爱情 歌舞,"3,Idiots",12,,9.1,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,2009

每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,朱塞佩·托纳多雷,,剧情 音乐,"La,leggenda,del,pianista,sull'oceano",11,,9.2,海上钢琴师,https://movie.douban.com/subject/1292001/,1998

小瓦力，大人生。,安德鲁·斯坦顿,,喜剧 爱情 科幻 动画 冒险,WALL·E,10,,9.3,机器人总动员,https://movie.douban.com/subject/2131459/,2008

诺兰给了我们一场无法盗取的梦。,克里斯托弗·诺兰,,剧情 动作 科幻 悬疑 冒险,Inception,9,,9.2,盗梦空间,https://movie.douban.com/subject/3541415/,2010

失去的才是永恒的。 ,詹姆斯·卡梅隆,,剧情 爱情 灾难,Titanic,8,,9.2,泰坦尼克号,https://movie.douban.com/subject/1292722/,1997

拯救一个人，就是拯救整个世界。,史蒂文·斯皮尔伯格,,剧情 历史 战争,"Schindler's,List",7,,9.4,辛德勒的名单,https://movie.douban.com/subject/1295124/,1993

最好的宫崎骏，最好的久石让。 ,宫崎骏,,剧情 动画 奇幻,千と千尋の神隠し,6,,9.2,千与千寻,https://movie.douban.com/subject/1291561/,2001

最美的谎言。,罗伯托·贝尼尼,,剧情 喜剧 爱情 战争,"La,vita,è,bella",5,,9.5,美丽人生,https://movie.douban.com/subject/1292063/,1997

怪蜀黍和小萝莉不得不说的故事。,吕克·贝松,,剧情 动作 犯罪,Léon,3,,9.4,这个杀手不太冷,https://movie.douban.com/subject/1295644/,1994

一部美国近现代史。,罗伯特·泽米吉斯,,剧情 爱情,"Forrest,Gump",4,,9.4,阿甘正传,https://movie.douban.com/subject/1292720/,1994

风华绝代。,陈凯歌,,剧情 爱情 同性,,2,,9.5,霸王别姬,https://movie.douban.com/subject/1291546/,1993

香港电影史上永不过时的杰作。,刘伟强,,剧情 悬疑 犯罪,無間道,25,,9.0,无间道,https://movie.douban.com/subject/1307914/,2002

平民励志片。 ,加布里埃莱·穆奇诺,,剧情 家庭 传记,"The,Pursuit,of,Happyness",22,,8.9,当幸福来敲门,https://movie.douban.com/subject/1849031/,2006

满满温情的高雅喜剧。,奥利维埃·纳卡什,,剧情 喜剧,Intouchables,21,,9.1,触不可及,https://movie.douban.com/subject/6786002/,2011

那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,朱塞佩·托纳多雷,,剧情 爱情,"Nuovo,Cinema,Paradiso",20,,9.1,天堂电影院,https://movie.douban.com/subject/1291828/,1988

Tomorrow is another day.,维克多·弗莱明,,剧情 爱情 历史 战争,"Gone,with,the,Wind",19,,9.2,乱世佳人,https://movie.douban.com/subject/1300267/,1939

如果再也不能见到你，祝你早安，午安，晚安。,彼得·威尔,,剧情 科幻,"The,Truman,Show",18,,9.1,楚门的世界,https://movie.douban.com/subject/1292064/,1998

千万不要记恨你的对手，这样会让你失去理智。,弗朗西斯·福特·科波拉,,剧情 犯罪,"The,Godfather",17,,9.2,教父,https://movie.douban.com/subject/1291841/,1972

人人心中都有个龙猫，童年就永远不会消失。,宫崎骏,,动画 奇幻,となりのトトロ,16,,9.1,龙猫,https://movie.douban.com/subject/1291560/,1988